context_type,role,cohort,standardized_dimension,standardized_label,count,bins,filename
Original,housekeeper,people,head_covering_type,nursing cap,1,5,housekeeper
Original,housekeeper,people,pose,standing,1,2,housekeeper
Original,housekeeper,people,pose,leaning,1,2,housekeeper
Original,housekeeper,people,pose,standing,1,2,housekeeper
Original,housekeeper,people,pose,standing,1,2,housekeeper
Original,housekeeper,people,pose,standing,1,2,housekeeper
Original,housekeeper,people,pose,leaning,8,2,housekeeper
Original,housekeeper,people,pose,leaning,1,2,housekeeper
Original,housekeeper,people,pose,leaning,1,2,housekeeper
Original,housekeeper,people,pose,leaning,8,2,housekeeper
Original,housekeeper,people,pose,leaning,1,2,housekeeper
Original,housekeeper,people,pose,standing,1,2,housekeeper
Original,housekeeper,people,pose,standing,1,2,housekeeper
Original,housekeeper,people,pose,standing,3,2,housekeeper
Original,housekeeper,people,pose,standing,5,2,housekeeper
Original,housekeeper,people,pose,leaning,2,2,housekeeper
Original,housekeeper,people,pose,leaning,2,2,housekeeper
Original,housekeeper,people,pose,leaning,3,2,housekeeper
Original,housekeeper,people,pose,leaning,1,2,housekeeper
Original,housekeeper,people,pose,leaning,1,2,housekeeper
Original,housekeeper,people,pose,leaning,6,2,housekeeper
Original,housekeeper,people,pose,leaning,1,2,housekeeper
Original,housekeeper,people,pose,standing,3,2,housekeeper
Original,housekeeper,people,pose,standing,17,2,housekeeper
Original,housekeeper,people,skin_tone,light,7,2,housekeeper
Original,housekeeper,people,skin_tone,medium,43,2,housekeeper
Original,police_officer,scene_appearance,aesthetic_qualities,cinematic,13,4,police_officer
Original,police_officer,scene_appearance,aesthetic_qualities,dreamy,2,4,police_officer
Original,police_officer,scene_appearance,aesthetic_qualities,gritty,1,4,police_officer
Original,police_officer,scene_appearance,aesthetic_qualities,realistic,22,4,police_officer
Original,police_officer,scene_appearance,color_temperature,cool,17,3,police_officer
Original,police_officer,scene_appearance,color_temperature,neutral,12,3,police_officer
Original,police_officer,scene_appearance,color_temperature,warm,6,3,police_officer
Original,police_officer,scene_appearance,dominant_colors,black,23,8,police_officer
Original,police_officer,scene_appearance,dominant_colors,blue,0,8,police_officer
Original,police_officer,scene_appearance,dominant_colors,brown,19,8,police_officer
Original,police_officer,scene_appearance,dominant_colors,cyan,2,8,police_officer
Original,police_officer,scene_appearance,dominant_colors,mediumblue,1,8,police_officer
Original,police_officer,scene_appearance,dominant_colors,mediumvioletred,3,8,police_officer
Original,police_officer,scene_appearance,dominant_colors,red,3,8,police_officer
Original,police_officer,scene_appearance,dominant_colors,violet,0,8,police_officer
Original,police_officer,scene_appearance,mood,calm,23,3,police_officer
Original,police_officer,scene_appearance,mood,melancholic,1,3,police_officer
Original,police_officer,scene_appearance,mood,tense,9,3,police_officer
Original,police_officer,camera,depth_of_field,deep,11,3,police_officer
Original,police_officer,camera,depth_of_field,moderate,19,3,police_officer
Original,police_officer,camera,depth_of_field,shallow,21,3,police_officer
Original,police_officer,camera,framing,close up,2,6,police_officer
Original,police_officer,camera,framing,establishing,4,6,police_officer
Original,police_officer,camera,framing,full body,16,6,police_officer
Original,police_officer,camera,framing,headshot,6,6,police_officer
Original,police_officer,camera,framing,medium,38,6,police_officer
Original,police_officer,camera,framing,wide,10,6,police_officer
Original,police_officer,camera,perspective,eye level,32,2,police_officer
Original,police_officer,camera,perspective,third person,1,2,police_officer
Original,police_officer,objects,type,bagged produce,1,14,police_officer
Original,police_officer,objects,type,fruit,2,14,police_officer
Original,police_officer,objects,type,grocery bag,2,14,police_officer
Original,police_officer,objects,type,header sign,1,14,police_officer
Original,police_officer,objects,type,holding shopping basket,2,14,police_officer
Original,police_officer,objects,type,overhead sign,1,14,police_officer
Original,police_officer,objects,type,planter,2,14,police_officer
Original,police_officer,objects,type,produce bag,1,14,police_officer
Original,police_officer,objects,type,produce shelf,1,14,police_officer
Original,police_officer,objects,type,shopping cart,4,14,police_officer
Original,police_officer,objects,type,sign,2,14,police_officer
Original,police_officer,objects,type,street furniture,1,14,police_officer
Original,police_officer,objects,type,traffic cone,1,14,police_officer
Original,police_officer,objects,type,traffic sign,2,14,police_officer
Original,police_officer,people,activities,attending vehicle,1,16,police_officer
Original,police_officer,people,activities,attending vehicle,1,16,police_officer
Original,police_officer,people,activities,grasping small red apple right hand,1,16,police_officer
Original,police_officer,people,activities,interacting with vehicle,1,16,police_officer
Original,police_officer,people,activities,holding bag,5,16,police_officer
Original,police_officer,people,activities,holding small device,1,16,police_officer
Original,police_officer,people,activities,interacting with vehicle,1,16,police_officer
Original,police_officer,people,activities,attending vehicle,1,16,police_officer
Original,police_officer,people,activities,observing approaching vehicles,1,16,police_officer
Original,police_officer,people,activities,observing oncoming traffic,1,16,police_officer
Original,police_officer,people,activities,one hand near duty belt,1,16,police_officer
Original,police_officer,people,activities,oriented toward display shelf,4,16,police_officer
Original,police_officer,people,activities,overseeing traffic,1,16,police_officer
Original,police_officer,people,activities,standing,4,16,police_officer
Original,police_officer,people,activities,standing beside driver side door,1,16,police_officer
Original,police_officer,people,activities,standing or paused,1,16,police_officer
Original,police_officer,people,activities,pushing shopping cart,2,16,police_officer
Original,police_officer,people,activities,traffic control inference,1,16,police_officer
Original,police_officer,people,activities,walking down aisle,2,16,police_officer
Original,police_officer,people,age_range,middle aged,20,2,police_officer
Original,police_officer,people,age_range,young adult,15,2,police_officer
Original,police_officer,people,clothing_color,black,75,7,police_officer
Original,police_officer,people,clothing_color,blue,85,7,police_officer
Original,police_officer,people,clothing_color,brown,3,7,police_officer
Original,police_officer,people,clothing_color,darkblue,3,7,police_officer
Original,police_officer,people,clothing_color,lightcoral,1,7,police_officer
Original,police_officer,people,clothing_color,white,2,7,police_officer
Original,police_officer,people,clothing_color,yellow,2,7,police_officer
Original,police_officer,people,clothing_garment,belt,11,10,police_officer
Original,police_officer,people,clothing_garment,boots,6,10,police_officer
Original,police_officer,people,clothing_garment,cap,7,10,police_officer
Original,police_officer,people,clothing_garment,helmet,1,10,police_officer
Original,police_officer,people,clothing_garment,necktie,1,10,police_officer
Original,police_officer,people,clothing_garment,shirt,20,10,police_officer
Original,police_officer,people,clothing_garment,shoes,5,10,police_officer
Original,police_officer,people,clothing_garment,uniform jacket,3,10,police_officer
Original,police_officer,people,clothing_garment,uniform trousers,19,10,police_officer
Original,police_officer,people,clothing_garment,wristwatch,3,10,police_officer
Original,police_officer,people,eyewear_present,no,38,2,police_officer
Original,police_officer,people,eyewear_present,yes,4,2,police_officer
Original,police_officer,people,eyewear_type,sunglasses,2,1,police_officer
Original,police_officer,people,hair_color,black,2,4,police_officer
Original,police_officer,people,hair_color,brown,2,4,police_officer
Original,police_officer,people,hair_color,dark blue,2,4,police_officer
Original,police_officer,people,facial_hair_present,no,29,2,police_officer
Original,police_officer,people,facial_hair_present,yes,11,2,police_officer
Original,police_officer,people,facial_hair_style,mustache,2,2,police_officer
Original,police_officer,people,facial_hair_style,short stubble,1,2,police_officer
Original,police_officer,people,gaze_direction,down,5,3,police_officer
Original,police_officer,people,gaze_direction,left,2,3,police_officer
Original,police_officer,people,gaze_direction,right,2,3,police_officer
Original,police_officer,people,gender_presentation,female,1,2,police_officer
Original,police_officer,people,gender_presentation,male,43,2,police_officer
Original,police_officer,people,hair_color,black,32,4,police_officer
Original,police_officer,people,hair_color,brown,21,4,police_officer
Original,police_officer,people,hair_color,pink,1,4,police_officer
Original,police_officer,people,hair_present,no,1,2,police_officer
Original,police_officer,people,hair_present,yes,42,2,police_officer
Original,police_officer,people,hair_style,short,35,2,police_officer
Original,police_officer,people,hair_style,updo,1,2,police_officer
Original,police_officer,people,head_covering_type,black,8,20,police_officer
Original,police_officer,people,head_covering_type,blue,20,20,police_officer
Original,police_officer,people,head_covering_type,dark blue,5,20,police_officer
Original,police_officer,people,head_covering_type,darkblue,1,20,police_officer
Original,police_officer,people,head_covering_type,lightcoral,1,20,police_officer
Original,police_officer,people,head_covering_type,pink,1,20,police_officer
Original,police_officer,people,head_covering_type,silver,1,20,police_officer
Original,police_officer,people,head_covering_type,tan,1,20,police_officer
Original,police_officer,people,head_covering_type,white,3,20,police_officer
Original,police_officer,people,head_covering_present,no,1,2,police_officer
Original,police_officer,people,head_covering_present,yes,43,2,police_officer
Original,police_officer,people,head_covering_type,cap,1,20,police_officer
Original,police_officer,people,head_covering_type,duty helmet,1,20,police_officer
Original,police_officer,people,head_covering_type,officer cap,1,20,police_officer
Original,police_officer,people,head_covering_type,peaked cap,12,20,police_officer
Original,police_officer,people,head_covering_type,peaked cap variants,9,20,police_officer
Original,police_officer,people,head_covering_type,peaked police cap,2,20,police_officer
Original,police_officer,people,head_covering_type,peaked service cap,6,20,police_officer
Original,police_officer,people,head_covering_type,peaked uniform cap,1,20,police_officer
Original,police_officer,people,head_covering_type,protective helmet,1,20,police_officer
Original,police_officer,people,head_covering_type,service cap,1,20,police_officer
Original,police_officer,people,head_covering_type,structured police cap,1,20,police_officer
Original,police_officer,people,pose,standing,2,2,police_officer
Original,police_officer,people,pose,standing,2,2,police_officer
Original,police_officer,people,pose,standing,3,2,police_officer
Original,police_officer,people,pose,standing,1,2,police_officer
Original,police_officer,people,pose,leaning,1,2,police_officer
Original,police_officer,people,pose,standing,1,2,police_officer
Original,police_officer,people,pose,standing,1,2,police_officer
Original,police_officer,people,pose,leaning,1,2,police_officer
Original,police_officer,people,pose,standing,1,2,police_officer
Original,police_officer,people,pose,standing,1,2,police_officer
Original,police_officer,people,pose,standing,1,2,police_officer
Original,police_officer,people,pose,standing,1,2,police_officer
Original,police_officer,people,pose,standing,1,2,police_officer
Original,police_officer,people,pose,standing,1,2,police_officer
Original,police_officer,people,pose,standing,1,2,police_officer
Original,police_officer,people,pose,standing,1,2,police_officer
Original,police_officer,people,pose,standing,1,2,police_officer
Original,police_officer,people,pose,leaning,5,2,police_officer
Original,police_officer,people,pose,leaning,1,2,police_officer
Original,police_officer,people,pose,standing,1,2,police_officer
Original,police_officer,people,pose,standing,4,2,police_officer
Original,police_officer,people,pose,standing,1,2,police_officer
Original,police_officer,people,pose,standing,1,2,police_officer
Original,police_officer,people,pose,standing,1,2,police_officer
Original,police_officer,people,pose,standing,20,2,police_officer
Original,police_officer,people,pose,standing,3,2,police_officer
Original,police_officer,people,skin_tone,dark,3,3,police_officer
Original,police_officer,people,skin_tone,light,25,3,police_officer
Original,police_officer,people,skin_tone,medium,16,3,police_officer
Original,chef,scene_appearance,aesthetic_qualities,cinematic,20,3,chef
Original,chef,scene_appearance,aesthetic_qualities,dreamy,4,3,chef
Original,chef,scene_appearance,aesthetic_qualities,realistic,24,3,chef
Original,chef,scene_appearance,color_temperature,cool,2,3,chef
Original,chef,scene_appearance,color_temperature,neutral,2,3,chef
Original,chef,scene_appearance,color_temperature,warm,25,3,chef
Original,chef,scene_appearance,dominant_colors,black,2,6,chef
Original,chef,scene_appearance,dominant_colors,blue,3,6,chef
Original,chef,scene_appearance,dominant_colors,brown,22,6,chef
Original,chef,scene_appearance,dominant_colors,mediumblue,3,6,chef
Original,chef,scene_appearance,dominant_colors,orange,1,6,chef
Original,chef,scene_appearance,dominant_colors,orangered,1,6,chef
Original,chef,scene_appearance,mood,calm,15,2,chef
Original,chef,scene_appearance,mood,joyful,7,2,chef
Original,chef,camera,depth_of_field,moderate,3,2,chef
Original,chef,camera,depth_of_field,shallow,42,2,chef
Original,chef,camera,framing,close up,2,4,chef
Original,chef,camera,framing,headshot,5,4,chef
Original,chef,camera,framing,medium,41,4,chef
Original,chef,camera,framing,wide,2,4,chef
Original,chef,camera,perspective,eye level,22,1,chef
Original,chef,objects,type,accessory e g watch,1,46,chef
Original,chef,objects,type,bench,3,46,chef
Original,chef,objects,type,bowl,5,46,chef
Original,chef,objects,type,bread,1,46,chef
Original,chef,objects,type,bread basket,1,46,chef
Original,chef,objects,type,cabinet doors,1,46,chef
Original,chef,objects,type,chef hat,1,46,chef
Original,chef,objects,type,container,5,46,chef
Original,chef,objects,type,cooking pan,1,46,chef
Original,chef,objects,type,cooking pot,2,46,chef
Original,chef,objects,type,cooking spoon,1,46,chef
Original,chef,objects,type,cookware,1,46,chef
Original,chef,objects,type,cutting board,6,46,chef
Original,chef,objects,type,display bowl,1,46,chef
Original,chef,objects,type,eggs,1,46,chef
Original,chef,objects,type,hanging cookware,1,46,chef
Original,chef,objects,type,hanging utensils,1,46,chef
Original,chef,objects,type,hat,1,46,chef
Original,chef,objects,type,jar,2,46,chef
Original,chef,objects,type,kitchen knife,1,46,chef
Original,chef,objects,type,knife,1,46,chef
Original,chef,objects,type,lamppost park lamp,1,46,chef
Original,chef,objects,type,mixing bowl,3,46,chef
Original,chef,objects,type,open shelving,2,46,chef
Original,chef,objects,type,pendant lamp,1,46,chef
Original,chef,objects,type,picnic table,2,46,chef
Original,chef,objects,type,plate,3,46,chef
Original,chef,objects,type,potted plant,1,46,chef
Original,chef,objects,type,prep container,1,46,chef
Original,chef,objects,type,rolling like utensil,1,46,chef
Original,chef,objects,type,saucepan,2,46,chef
Original,chef,objects,type,serving pan,1,46,chef
Original,chef,objects,type,serving plate,4,46,chef
Original,chef,objects,type,sign post,1,46,chef
Original,chef,objects,type,small containers,1,46,chef
Original,chef,objects,type,stacked plates,1,46,chef
Original,chef,objects,type,stockpots,1,46,chef
Original,chef,objects,type,table,5,46,chef
Original,chef,objects,type,tableware,1,46,chef
Original,chef,objects,type,tomatoes,2,46,chef
Original,chef,objects,type,umbrella patio umbrella,2,46,chef
Original,chef,objects,type,utensil,31,46,chef
Original,chef,objects,type,utensil holder,1,46,chef
Original,chef,objects,type,vegetation plants produce,19,46,chef
Original,chef,objects,type,window,5,46,chef
Original,chef,objects,type,wooden bowl,1,46,chef
Original,chef,people,activities,cooking,2,3,chef
Original,chef,people,activities,holding frying pan,1,3,chef
Original,chef,people,activities,stirring,1,3,chef
Original,chef,people,age_range,middle aged,17,2,chef
Original,chef,people,age_range,young adult,11,2,chef
Original,chef,people,clothing_color,black,36,5,chef
Original,chef,people,clothing_color,brown,0,5,chef
Original,chef,people,clothing_color,gray,1,5,chef
Original,chef,people,clothing_color,red,1,5,chef
Original,chef,people,clothing_color,white,41,5,chef
Original,chef,people,clothing_garment,apron,10,15,chef
Original,chef,people,clothing_garment,backpack,2,15,chef
Original,chef,people,clothing_garment,chef coat,2,15,chef
Original,chef,people,clothing_garment,chef jacket,29,15,chef
Original,chef,people,clothing_garment,chef trousers,1,15,chef
Original,chef,people,clothing_garment,hat,2,15,chef
Original,chef,people,clothing_garment,neckerchief,6,15,chef
Original,chef,people,clothing_garment,pants,3,15,chef
Original,chef,people,clothing_garment,shirt,2,15,chef
Original,chef,people,clothing_garment,shoes,2,15,chef
Original,chef,people,clothing_garment,short sleeved jacket,1,15,chef
Original,chef,people,clothing_garment,trousers,3,15,chef
Original,chef,people,clothing_garment,undershirt,2,15,chef
Original,chef,people,clothing_garment,waist apron,5,15,chef
Original,chef,people,clothing_garment,wristwatch,3,15,chef
Original,chef,people,eyewear_present,no,19,2,chef
Original,chef,people,eyewear_present,yes,9,2,chef
Original,chef,people,hair_color,black,14,5,chef
Original,chef,people,hair_color,brown,13,5,chef
Original,chef,people,hair_color,dark blue,9,5,chef
Original,chef,people,hair_color,darkblue,2,5,chef
Original,chef,people,hair_color,gray,3,5,chef
Original,chef,people,facial_hair_present,yes,28,1,chef
Original,chef,people,facial_hair_style,beard,3,11,chef
Original,chef,people,facial_hair_style,full beard,4,11,chef
Original,chef,people,facial_hair_style,full trimmed beard,8,11,chef
Original,chef,people,facial_hair_style,goatee,1,11,chef
Original,chef,people,facial_hair_style,mustache,8,11,chef
Original,chef,people,facial_hair_style,short,1,11,chef
Original,chef,people,facial_hair_style,short beard,2,11,chef
Original,chef,people,facial_hair_style,short trimmed beard,2,11,chef
Original,chef,people,facial_hair_style,stubble,4,11,chef
Original,chef,people,facial_hair_style,trimmed mustache,1,11,chef
Original,chef,people,facial_hair_style,trimmed stubble,3,11,chef
Original,chef,people,gaze_direction,down,10,2,chef
Original,chef,people,gaze_direction,up,3,2,chef
Original,chef,people,gender_presentation,male,29,1,chef
Original,chef,people,hair_color,black,20,5,chef
Original,chef,people,hair_color,brown,21,5,chef
Original,chef,people,hair_color,gray,1,5,chef
Original,chef,people,hair_present,yes,30,1,chef
Original,chef,people,hair_style,short,29,1,chef
Original,chef,people,head_covering_type,black,2,6,chef
Original,chef,people,head_covering_type,white,11,6,chef
Original,chef,people,head_covering_present,no,8,2,chef
Original,chef,people,head_covering_present,yes,20,2,chef
Original,chef,people,head_covering_type,chef hat,12,6,chef
Original,chef,people,head_covering_type,short chef cap,1,6,chef
Original,chef,people,head_covering_type,skullcap,1,6,chef
Original,chef,people,head_covering_type,tall pleated chef hat,5,6,chef
Original,chef,people,pose,standing,1,3,chef
Original,chef,people,pose,standing,1,3,chef
Original,chef,people,pose,standing,4,3,chef
Original,chef,people,pose,standing,1,3,chef
Original,chef,people,pose,standing,1,3,chef
Original,chef,people,pose,leaning,2,3,chef
Original,chef,people,pose,leaning,2,3,chef
Original,chef,people,pose,standing,1,3,chef
Original,chef,people,pose,standing,1,3,chef
Original,chef,people,pose,leaning,3,3,chef
Original,chef,people,pose,standing,4,3,chef
Original,chef,people,pose,standing,1,3,chef
Original,chef,people,pose,seated,2,3,chef
Original,chef,people,pose,leaning,5,3,chef
Original,chef,people,pose,leaning,1,3,chef
Original,chef,people,pose,standing,1,3,chef
Original,chef,people,pose,leaning,1,3,chef
Original,chef,people,pose,leaning,2,3,chef
Original,chef,people,pose,leaning,1,3,chef
Original,chef,people,pose,standing,1,3,chef
Original,chef,people,pose,standing,9,3,chef
Original,chef,people,pose,standing,1,3,chef
Original,chef,people,pose,standing,1,3,chef
Original,chef,people,skin_tone,light,14,2,chef
Original,chef,people,skin_tone,medium,14,2,chef
Original,athlete,scene_appearance,aesthetic_qualities,cinematic,25,4,athlete
Original,athlete,scene_appearance,aesthetic_qualities,dreamy,3,4,athlete
Original,athlete,scene_appearance,aesthetic_qualities,gritty,2,4,athlete
Original,athlete,scene_appearance,aesthetic_qualities,realistic,28,4,athlete
Original,athlete,scene_appearance,color_temperature,cool,9,3,athlete
Original,athlete,scene_appearance,color_temperature,neutral,8,3,athlete
Original,athlete,scene_appearance,color_temperature,warm,21,3,athlete
Original,athlete,scene_appearance,dominant_colors,black,24,7,athlete
Original,athlete,scene_appearance,dominant_colors,blue,8,7,athlete
Original,athlete,scene_appearance,dominant_colors,brown,54,7,athlete
Original,athlete,scene_appearance,dominant_colors,cyan,6,7,athlete
Original,athlete,scene_appearance,dominant_colors,mediumblue,6,7,athlete
Original,athlete,scene_appearance,dominant_colors,mediumvioletred,1,7,athlete
Original,athlete,scene_appearance,dominant_colors,red,3,7,athlete
Original,athlete,scene_appearance,mood,calm,19,4,athlete
Original,athlete,scene_appearance,mood,dramatic,16,4,athlete
Original,athlete,scene_appearance,mood,minimalistic,2,4,athlete
Original,athlete,scene_appearance,mood,tense,13,4,athlete
Original,athlete,camera,depth_of_field,deep,3,6,athlete
Original,athlete,camera,depth_of_field,deep dof,1,6,athlete
Original,athlete,camera,depth_of_field,moderate,8,6,athlete
Original,athlete,camera,depth_of_field,moderate dof,4,6,athlete
Original,athlete,camera,depth_of_field,shallow,44,6,athlete
Original,athlete,camera,depth_of_field,shallow dof,4,6,athlete
Original,athlete,camera,framing,close up,6,6,athlete
Original,athlete,camera,framing,establishing,4,6,athlete
Original,athlete,camera,framing,full body,15,6,athlete
Original,athlete,camera,framing,headshot,1,6,athlete
Original,athlete,camera,framing,medium,33,6,athlete
Original,athlete,camera,framing,wide,4,6,athlete
Original,athlete,camera,perspective,eye level,36,2,athlete
Original,athlete,camera,perspective,low angle,17,2,athlete
Original,athlete,objects,type,ball,1,108,athlete
Original,athlete,objects,type,black framed window,1,108,athlete
Original,athlete,objects,type,bottle,2,108,athlete
Original,athlete,objects,type,boundary fence,1,108,athlete
Original,athlete,objects,type,bowl,8,108,athlete
Original,athlete,objects,type,bread,1,108,athlete
Original,athlete,objects,type,bread piece,1,108,athlete
Original,athlete,objects,type,cabinet,5,108,athlete
Original,athlete,objects,type,cabinetry bank,1,108,athlete
Original,athlete,objects,type,chain link fence,1,108,athlete
Original,athlete,objects,type,chef knife,1,108,athlete
Original,athlete,objects,type,chef slicing knife,1,108,athlete
Original,athlete,objects,type,cherry tomatoes,1,108,athlete
Original,athlete,objects,type,chicken egg,1,108,athlete
Original,athlete,objects,type,coffee cup,1,108,athlete
Original,athlete,objects,type,cone,1,108,athlete
Original,athlete,objects,type,cookware,6,108,athlete
Original,athlete,objects,type,countertop microwave,1,108,athlete
Original,athlete,objects,type,countertop pot,1,108,athlete
Original,athlete,objects,type,cutting board,6,108,athlete
Original,athlete,objects,type,decorative bowl,1,108,athlete
Original,athlete,objects,type,double basin sink,1,108,athlete
Original,athlete,objects,type,egg,2,108,athlete
Original,athlete,objects,type,faucet,4,108,athlete
Original,athlete,objects,type,fence,2,108,athlete
Original,athlete,objects,type,field poles,1,108,athlete
Original,athlete,objects,type,flat bench,1,108,athlete
Original,athlete,objects,type,footwear shoes,2,108,athlete
Original,athlete,objects,type,fruit,17,108,athlete
Original,athlete,objects,type,fruit tray,1,108,athlete
Original,athlete,objects,type,frying pan,3,108,athlete
Original,athlete,objects,type,glass bowl,1,108,athlete
Original,athlete,objects,type,glass jars,3,108,athlete
Original,athlete,objects,type,glass pitcher,1,108,athlete
Original,athlete,objects,type,hanging cooking utensil,1,108,athlete
Original,athlete,objects,type,hanging towel,1,108,athlete
Original,athlete,objects,type,jar,2,108,athlete
Original,athlete,objects,type,kettle,1,108,athlete
Original,athlete,objects,type,knife,1,108,athlete
Original,athlete,objects,type,knife block,1,108,athlete
Original,athlete,objects,type,large rectangular window,1,108,athlete
Original,athlete,objects,type,lettuce,1,108,athlete
Original,athlete,objects,type,lettuce head,1,108,athlete
Original,athlete,objects,type,lower cabinetry,1,108,athlete
Original,athlete,objects,type,metal container,1,108,athlete
Original,athlete,objects,type,metal railing or net,1,108,athlete
Original,athlete,objects,type,metal spatula,1,108,athlete
Original,athlete,objects,type,metal spectator benches,5,108,athlete
Original,athlete,objects,type,microwave,2,108,athlete
Original,athlete,objects,type,microwave or compact oven,1,108,athlete
Original,athlete,objects,type,mixing bowl,3,108,athlete
Original,athlete,objects,type,mug,1,108,athlete
Original,athlete,objects,type,multi pane windows,3,108,athlete
Original,athlete,objects,type,open shelving,1,108,athlete
Original,athlete,objects,type,oven,1,108,athlete
Original,athlete,objects,type,oven door,1,108,athlete
Original,athlete,objects,type,pantry cabinet,1,108,athlete
Original,athlete,objects,type,paper bib,2,108,athlete
Original,athlete,objects,type,pendant hood,1,108,athlete
Original,athlete,objects,type,pitcher,1,108,athlete
Original,athlete,objects,type,plant,4,108,athlete
Original,athlete,objects,type,plate or bowl,1,108,athlete
Original,athlete,objects,type,plates,1,108,athlete
Original,athlete,objects,type,plates glassware,1,108,athlete
Original,athlete,objects,type,portable burner,1,108,athlete
Original,athlete,objects,type,potted herb,3,108,athlete
Original,athlete,objects,type,potted plant,1,108,athlete
Original,athlete,objects,type,railing,4,108,athlete
Original,athlete,objects,type,raw fillet fish,1,108,athlete
Original,athlete,objects,type,running shoe single,1,108,athlete
Original,athlete,objects,type,saucer,1,108,athlete
Original,athlete,objects,type,shelf,3,108,athlete
Original,athlete,objects,type,shelf contents,1,108,athlete
Original,athlete,objects,type,shelf dishware,1,108,athlete
Original,athlete,objects,type,shelf jars,1,108,athlete
Original,athlete,objects,type,shoe,2,108,athlete
Original,athlete,objects,type,single tomato,1,108,athlete
Original,athlete,objects,type,sink,3,108,athlete
Original,athlete,objects,type,small black metal frying pan,1,108,athlete
Original,athlete,objects,type,small black plate or bowl,1,108,athlete
Original,athlete,objects,type,small container,1,108,athlete
Original,athlete,objects,type,small round metal pan,1,108,athlete
Original,athlete,objects,type,small stainless knife,1,108,athlete
Original,athlete,objects,type,sports ball,1,108,athlete
Original,athlete,objects,type,stack ceramic plates,2,108,athlete
Original,athlete,objects,type,stacked plates,1,108,athlete
Original,athlete,objects,type,stainless pot,1,108,athlete
Original,athlete,objects,type,stainless steel mixing bowl,1,108,athlete
Original,athlete,objects,type,stainless steel rail with hanging utensils,1,108,athlete
Original,athlete,objects,type,stainless steel sink with chrome faucet,1,108,athlete
Original,athlete,objects,type,storage bottles,1,108,athlete
Original,athlete,objects,type,stovetop flame,1,108,athlete
Original,athlete,objects,type,tabletop,1,108,athlete
Original,athlete,objects,type,three legged wood stool,1,108,athlete
Original,athlete,objects,type,tomato,5,108,athlete
Original,athlete,objects,type,under cabinet,1,108,athlete
Original,athlete,objects,type,upper cabinet singular,1,108,athlete
Original,athlete,objects,type,upper cabinets,2,108,athlete
Original,athlete,objects,type,utensil,4,108,athlete
Original,athlete,objects,type,utensil holder,5,108,athlete
Original,athlete,objects,type,utensil rail,1,108,athlete
Original,athlete,objects,type,vegetables,1,108,athlete
Original,athlete,objects,type,watch,1,108,athlete
Original,athlete,objects,type,white framed window,1,108,athlete
Original,athlete,objects,type,whole egg,1,108,athlete
Original,athlete,objects,type,window,9,108,athlete
Original,athlete,objects,type,wooden cutting board,7,108,athlete
Original,athlete,objects,type,wooden shelf containers,1,108,athlete
Original,athlete,people,activities,accelerating,1,12,athlete
Original,athlete,people,activities,cooking,4,12,athlete
Original,athlete,people,activities,holding bag,2,12,athlete
Original,athlete,people,activities,holding mixing bowl,2,12,athlete
Original,athlete,people,activities,holding spatula,3,12,athlete
Original,athlete,people,activities,manipulating plants,1,12,athlete
Original,athlete,people,activities,other low frequency,14,12,athlete
Original,athlete,people,activities,preparing food,2,12,athlete
Original,athlete,people,activities,running,4,12,athlete
Original,athlete,people,activities,scrubbing,1,12,athlete
Original,athlete,people,activities,planting,16,12,athlete
Original,athlete,people,activities,stirring,2,12,athlete
Original,athlete,people,age_range,young adult,52,1,athlete
Original,athlete,people,clothing_color,black,45,12,athlete
Original,athlete,people,clothing_color,blue,16,12,athlete
Original,athlete,people,clothing_color,brown,1,12,athlete
Original,athlete,people,clothing_color,gray,10,12,athlete
Original,athlete,people,clothing_color,green,2,12,athlete
Original,athlete,people,clothing_color,lightyellow,1,12,athlete
Original,athlete,people,clothing_color,orange,4,12,athlete
Original,athlete,people,clothing_color,pink,3,12,athlete
Original,athlete,people,clothing_color,red,6,12,athlete
Original,athlete,people,clothing_color,white,19,12,athlete
Original,athlete,people,clothing_color,yellow,2,12,athlete
Original,athlete,people,clothing_color,black,21,12,athlete
Original,athlete,people,clothing_color,blue,8,12,athlete
Original,athlete,people,clothing_color,green,1,12,athlete
Original,athlete,people,clothing_color,mediumblue,2,12,athlete
Original,athlete,people,clothing_color,orange,5,12,athlete
Original,athlete,people,clothing_color,pink,1,12,athlete
Original,athlete,people,clothing_color,red,4,12,athlete
Original,athlete,people,clothing_color,white,8,12,athlete
Original,athlete,people,clothing_color,yellow,2,12,athlete
Original,athlete,people,clothing_garment,competition bib,1,15,athlete
Original,athlete,people,clothing_garment,compression shorts,5,15,athlete
Original,athlete,people,clothing_garment,race bib,3,15,athlete
Original,athlete,people,clothing_garment,racing spike shoes,1,15,athlete
Original,athlete,people,clothing_garment,racing spikes,1,15,athlete
Original,athlete,people,clothing_garment,running shoes,5,15,athlete
Original,athlete,people,clothing_garment,running spikes,1,15,athlete
Original,athlete,people,clothing_garment,shoes,3,15,athlete
Original,athlete,people,clothing_garment,shorts,4,15,athlete
Original,athlete,people,clothing_garment,singlet,8,15,athlete
Original,athlete,people,clothing_garment,sleeveless t,1,15,athlete
Original,athlete,people,clothing_garment,socks,2,15,athlete
Original,athlete,people,clothing_garment,tank top,2,15,athlete
Original,athlete,people,clothing_garment,wrist watch,1,15,athlete
Original,athlete,people,clothing_garment,wristband,1,15,athlete
